,src_data_name,VOC2012,cellpose,PhC-C2DH-U373,heartSeg,DIC-C2DH-HeLa,ham,monuseg,cvc_clinic,PhC-C2DL-PSC,Fluo-N2DH-GOWT1,lung,URICADS,Fluo-C2DL-Huh7,isic,LUMINOUS,Riga,panuke,CryoNuSeg,DENTAL_xray,Fluo-N2DL-HeLa,COCO,livecell,USNerve
0,dataset_test/21/,"0,087957374751568","0,000666284118779","2,12449649552582E-05","0,087781146168709","5,82723077968694E-06","0,437620997428894","0,331145912408829","0,63470458984375","5,06522610521643E-06","5,67144052183721E-05","2,31616631936049E-05","4,34961984865367E-05","8,12778089311905E-05","0,290776073932648","4,5731954742223E-05","0,047475945204496","0,33419343829155","0,345633894205093","9,94696347333956E-06","6,78195647196844E-05","0,037394445389509","5,65659775020322E-06","8,19856086309301E-06"
1,dataset_test/22/,"0,420504808425903","0,810932993888855","0,111645467579365","0,106837444007397","0,672365963459015","0,396528214216232","0,205212101340294","0,161885187029839","0,133018225431442","0,673720419406891","0,348928928375244","0,285320818424225","0,745776116847992","0,254322230815887","0,213745698332787","0,012640205211938","0,186166629195213","0,199456438422203","0,37211737036705","0,559668064117432","0,338930815458298","0,522479474544525","0,028398653492332"
2,dataset_test/23/,"0,516895592212677","0,482656329870224","0,031223516911268","0,274053394794464","0,00712469406426","0,842153012752533","0,458284080028534","0,153660461306572","0,016237916424871","0,114531882107258","0,591500103473663","0,130775779485703","0,393073379993439","0,627674579620361","0,129605814814568","0,008930505253375","0,365309685468674","0,539435029029846","0,28702649474144","0,187804341316223","0,443692713975906","0,001140157342888","0,034122057259083"
3,dataset_train/8/,"0,010908829048276","2,49907079705736E-05","3,67515240213834E-05","3,3555075788172E-05","3,3819207601482E-05","0,001502373605035","0,014746836386621","5,50910554011352E-05","0,120085649192333","2,70242780970875E-05","0,002432629233226","3,14957942464389E-05","0,107177063822746","0,001491471775807","2,94131386908703E-05","8,15695384517312E-05","0,007172783371061","0,003433944890276","0,000122322759125","2,36782379943179E-05","0,045525956898928","4,45515506726224E-05","0,270700484514236"
4,dataset_test/19/,"0,653884887695313","0,107107870280743","0,483448505401611","0,312422335147858","0,042517226189375","0,611798286437988","0,447159737348556","0,200850263237953","0,016655283048749","0,18505685031414","0,207558587193489","0,148350045084953","0,526765286922455","0,504143059253693","0,214454784989357","0,009174717590213","0,448946177959442","0,534555494785309","0,420591801404953","0,241682648658752","0,47155436873436","0,020365230739117","0,039923582226038"
5,dataset_test/18/,"0,371593356132507","0,010717800818384","0,009130282327533","0,03748494759202","0,324029296636581","0,096620455384255","0,458860486745834","0,001653488958254","0,158384934067726","0,172700315713882","0,279658883810043","0,898723363876343","0,549069464206696","0,013256289064884","0,521251320838928","0,000443366239779","0,392557740211487","0,524844348430633","0,610880851745606","0,331640928983688","0,342557817697525","0,273582637310028","0,034451149404049"
6,dataset_test/15/,"0,161054998636246","0,009008358232677","0,39198300242424","0,001814323361032","0,02317245490849","0,057273779064417","0,034556321799755","0,087345533072949","0,624760508537293","0,109928913414478","0,038513600826264","0,049651566892862","0,22052289545536","0,012349628843367","0,042070265859366","0,810734748840332","0,043641518801451","0,014666513539851","0,284477353096008","0,041042674332857","0,124306596815586","0,119926474988461","0,031196551397443"
7,dataset_train/2/,"0,331936299800873","0,369023203849792","0,111686453223228","0,095972582697868","0,679422795772553","0,045942213386297","0,621013104915619","0,013977782800794","0,016410119831562","0,107487790286541","0,474051743745804","0,133591488003731","0,358205139636993","0,056609697639942","0,130153894424438","1,52985251133941E-06","0,463292837142944","0,692080199718475","0,220978453755379","0,183954238891602","0,338191151618958","0,525783360004425","0,021856939420104"
8,dataset_train/7/,"0,157127395272255","0,236307501792908","0,26248437166214","0,070809468626976","0,135866209864616","0,079614937305451","0,078200779855251","0,110050812363625","0,697537362575531","0,442034155130386","0,056015275418758","0,184231907129288","0,24847012758255","0,042578659951687","0,168992727994919","0,037644185125828","0,08355038613081","0,05196975171566","0,218853995203972","0,187643632292748","0,133269920945168","0,179036423563957","0,01959552615881"
9,dataset_train/3/,"0,358980298042297","0,418040692806244","0,1207","0,1044","0,682011723518372","0,104473635554314","0,722919523715973","0,01561732031405","0,02783","0,107813663780689","0,457299143075943","0,124330878257751","0,36937803030014","0,1087","0,1274","3,62302756684585E-07","0,740297079086304","0,740688979625702","0,1921","0,1837178170681","0,357392728328705","0,5693","0,02255"
